scale_id,states,atomic_propositions,agents,universal_agents,bound_k,status,completed_repetitions,total_repetitions,median_wall_seconds,min_wall_seconds,max_wall_seconds,median_peak_rss_mb,median_universal_profiles_checked,raw_domain_size_per_universal_agent,raw_profile_space_upper_bound
S6-P3,6,3,2,1,1,completed,3,3,0.012280900031328201,0.011309699970297515,0.01653479994274676,33.86328125,2,2,2
S6-P3,6,3,2,1,2,completed,3,3,0.03102200001012534,0.028380500036291778,0.03670649998821318,33.703125,9,26,26
S6-P3,6,3,2,1,3,completed,3,3,0.02663800003938377,0.025105200009420514,0.044967700028792024,33.83984375,7,266,266
S6-P3,6,3,2,1,4,completed,3,3,0.040312099969014525,0.03933619998861104,0.04347220005001873,33.78125,11,2282,2282
S6-P3,6,3,3,2,1,completed,3,3,0.017017200007103384,0.01653919997625053,0.01716749998740852,33.875,4,2,4
S6-P3,6,3,3,2,2,completed,3,3,0.33655090001411736,0.3359764999477193,0.34334279992617667,33.765625,113,26,676
S6-P3,6,3,3,2,3,completed,3,3,1.7325378999812528,1.7009334000758827,1.73866629996337,33.96484375,445,266,70756
S6-P3,6,3,3,2,4,completed,3,3,35.10519289993681,31.253359799971804,35.46114250004757,34.1875,3381,2282,5207524
S6-P3,6,3,4,3,1,completed,3,3,0.03313879994675517,0.025084700086154044,0.03681760001927614,33.85546875,8,2,8
S6-P3,6,3,4,3,2,completed,3,3,11.681094100000337,9.88410740008112,12.051471499959007,34.015625,1569,26,17576
S6-P3,6,3,4,3,3,timeout,0,3,,,,,,266,18821096
S6-P3,6,3,4,3,4,timeout,0,3,,,,,,2282,11883569768
S6-P3,6,3,5,4,1,completed,3,3,0.05122019990812987,0.049130700062960386,0.06639420008286834,33.66015625,16,2,16
S6-P3,6,3,5,4,2,timeout,0,3,,,,,,26,456976
S6-P3,6,3,5,4,3,timeout,0,3,,,,,,266,5006411536
S6-P3,6,3,5,4,4,timeout,0,3,,,,,,2282,27118306210576
S10-P5,10,5,2,1,1,completed,3,3,0.014543300028890371,0.010344999958761036,0.017169500002637506,33.80078125,2,2,2
S10-P5,10,5,2,1,2,completed,3,3,0.06306079996284097,0.06008159997873008,0.06306880002375692,33.8515625,17,42,42
S10-P5,10,5,2,1,3,completed,3,3,0.06612730002962053,0.05568330001551658,0.06788810004945844,33.69921875,15,762,762
S10-P5,10,5,2,1,4,completed,3,3,0.05196450010407716,0.05179089994635433,0.057191899977624416,33.81640625,13,12602,12602
S10-P5,10,5,3,2,1,completed,3,3,0.017847499926574528,0.016093499958515167,0.018953499966301024,33.859375,4,2,4
S10-P5,10,5,3,2,2,completed,3,3,1.388202599948272,1.360322399996221,1.4508777000010014,33.88671875,353,42,1764
S10-P5,10,5,3,2,3,completed,3,3,29.150053299963474,23.600623599952087,29.15982000005897,34.18359375,2829,762,580644
S10-P5,10,5,3,2,4,timeout,0,3,,,,,,12602,158810404
S10-P5,10,5,4,3,1,completed,3,3,0.028878799988888204,0.027991499984636903,0.09078580001369119,33.71484375,8,2,8
S10-P5,10,5,4,3,2,completed,3,3,79.509648899897,75.6777873999672,83.09230839996599,34.60546875,7745,42,74088
S10-P5,10,5,4,3,3,timeout,0,3,,,,,,762,442450728
S10-P5,10,5,4,3,4,timeout,0,3,,,,,,12602,2001328711208
S10-P5,10,5,5,4,1,completed,3,3,0.05921129998750985,0.05587989999912679,0.06044330005533993,33.76953125,16,2,16
S10-P5,10,5,5,4,2,timeout,0,3,,,,,,42,3111696
S10-P5,10,5,5,4,3,timeout,0,3,,,,,,762,337147454736
S10-P5,10,5,5,4,4,timeout,0,3,,,,,,12602,25220744418643216
S14-P7,14,7,2,1,1,completed,3,3,0.014531699940562248,0.013391099986620247,0.021167099941521883,33.80859375,2,2,2
S14-P7,14,7,2,1,2,completed,3,3,0.10428810003213584,0.1015006999950856,0.10767290007788688,33.7421875,25,58,58
S14-P7,14,7,2,1,3,completed,3,3,0.11390939995180815,0.10995799989905208,0.11798520002048463,33.75390625,23,1514,1514
S14-P7,14,7,2,1,4,completed,3,3,0.1263948999112472,0.1206990999635309,0.14092489995528013,33.8125,21,37130,37130
S14-P7,14,7,3,2,1,completed,3,3,0.028604599996469915,0.021774900029413402,0.04680829995777458,33.7734375,4,2,4
S14-P7,14,7,3,2,2,completed,3,3,4.110065400018357,3.9638911000220105,4.283390700002201,33.80078125,721,58,3364
S14-P7,14,7,3,2,3,completed,3,3,116.31478929996956,113.93099189992063,117.37360270007048,35.51953125,8669,1514,2292196
S14-P7,14,7,3,2,4,timeout,0,3,,,,,,37130,1378636900
